2023-04-16 14:00:54,065 INFO    Thread-24 :6528 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.14.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-16 14:00:54,065 INFO    Thread-24 :6528 [wandb_init.py:init():775] starting run threads in backend
2023-04-16 14:00:54,248 INFO    Thread-24 :6528 [wandb_run.py:_console_start():2114] atexit reg
2023-04-16 14:00:54,248 INFO    Thread-24 :6528 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-16 14:00:54,248 INFO    Thread-24 :6528 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-16 14:00:54,248 INFO    Thread-24 :6528 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-16 14:00:54,248 INFO    Thread-24 :6528 [wandb_init.py:init():817] run started, returning control to user process
2023-04-16 14:00:54,497 INFO    Thread-24 :6528 [wandb_watch.py:watch():51] Watching
2023-04-16 14:14:35,395 INFO    Thread-24 :6528 [wandb_run.py:_finish():1854] finishing run g13hvl2023/Sweep/f0msmu7g
2023-04-16 14:14:35,395 INFO    Thread-24 :6528 [jupyter.py:save_history():449] not saving jupyter history
2023-04-16 14:14:35,395 INFO    Thread-24 :6528 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-04-16 14:14:35,395 INFO    Thread-24 :6528 [wandb_init.py:_jupyter_teardown():420] cleaning up jupyter logic
2023-04-16 14:14:35,395 INFO    Thread-24 :6528 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-04-16 14:14:35,396 INFO    Thread-24 :6528 [wandb_run.py:_restore():2066] restore
2023-04-16 14:14:35,396 INFO    Thread-24 :6528 [wandb_run.py:_restore():2072] restore done
2023-04-16 14:14:40,205 INFO    Thread-24 :6528 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-04-16 14:14:40,228 INFO    Thread-24 :6528 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-04-16 14:14:40,236 INFO    Thread-24 :6528 [wandb_run.py:_footer_sync_info():3398] logging synced files
